developer-friendly name,VARIABLE NAME
6_yrs_after_entry.mean_earnings.middle_tercile,MN_EARN_WNE_INC2_P6
6_yrs_after_entry.mean_earnings.highest_tercile,MN_EARN_WNE_INC3_P6
6_yrs_after_entry.mean_earnings.dependent_students_lowest_tercile,MN_EARN_WNE_INDEP0_INC1_P6
6_yrs_after_entry.mean_earnings.dependent_students,MN_EARN_WNE_INDEP0_P6
6_yrs_after_entry.mean_earnings.independent_students,MN_EARN_WNE_INDEP1_P6
6_yrs_after_entry.mean_earnings.female_students,MN_EARN_WNE_MALE0_P6
6_yrs_after_entry.mean_earnings.male_students,MN_EARN_WNE_MALE1_P6
7_yrs_after_entry.not_working_not_enrolled,COUNT_NWNE_P7
7_yrs_after_entry.working_not_enrolled,COUNT_WNE_P7
7_yrs_after_entry.mean_earnings,MN_EARN_WNE_P7
7_yrs_after_entry.std_dev,SD_EARN_WNE_P7
7_yrs_after_entry.percent_greater_than_25000,GT_25K_P7
8_yrs_after_entry.not_working_not_enrolled,COUNT_NWNE_P8
8_yrs_after_entry.working_not_enrolled,COUNT_WNE_P8
8_yrs_after_entry.mean_earnings,MN_EARN_WNE_P8
8_yrs_after_entry.median_earnings,MD_EARN_WNE_P8
8_yrs_after_entry.10th_percentile_earnings,PCT10_EARN_WNE_P8
8_yrs_after_entry.25th_percentile_earnings,PCT25_EARN_WNE_P8
8_yrs_after_entry.75th_percentile_earnings,PCT75_EARN_WNE_P8
8_yrs_after_entry.90th_percentile_earnings,PCT90_EARN_WNE_P8
8_yrs_after_entry.std_deviation,SD_EARN_WNE_P8
8_yrs_after_entry.percent_greater_than_25000,GT_25K_P8
8_yrs_after_entry.percent_greater_than_28000,GT_28K_P8
9_yrs_after_entry.not_working_not_enrolled,COUNT_NWNE_P9
9_yrs_after_entry.working_not_enrolled,COUNT_WNE_P9
9_yrs_after_entry.mean_earnings,MN_EARN_WNE_P9
9_yrs_after_entry.std_deviation,SD_EARN_WNE_P9
9_yrs_after_entry.percent_greater_than_25000,GT_25K_P9
median_debt_suppressed.overall,DEBT_MDN_SUPP
median_debt_suppressed.completers.overall,GRAD_DEBT_MDN_SUPP
median_debt_suppressed.completers.monthly_payments,GRAD_DEBT_MDN10YR_SUPP
3_yr_repayment_suppressed.overall,RPY_3YR_RT_SUPP
3_yr_repayment_suppressed.income.low_income,LO_INC_RPY_3YR_RT_SUPP
3_yr_repayment_suppressed.income.middle_income,MD_INC_RPY_3YR_RT_SUPP
3_yr_repayment_suppressed.income.high_income,HI_INC_RPY_3YR_RT_SUPP
3_yr_repayment_suppressed.completers,COMPL_RPY_3YR_RT_SUPP
3_yr_repayment_suppressed.non_completers,NONCOM_RPY_3YR_RT_SUPP
3_yr_repayment_suppressed.dependent_students,DEP_RPY_3YR_RT_SUPP
3_yr_repayment_suppressed.independent_students,IND_RPY_3YR_RT_SUPP
3_yr_repayment_suppressed.pell_grant,PELL_RPY_3YR_RT_SUPP
3_yr_repayment_suppressed.no_pell_grant,NOPELL_RPY_3YR_RT_SUPP
3_yr_repayment_suppressed.female_students,FEMALE_RPY_3YR_RT_SUPP
3_yr_repayment_suppressed.male_students,MALE_RPY_3YR_RT_SUPP
3_yr_repayment_suppressed.first_generation_students,FIRSTGEN_RPY_3YR_RT_SUPP
3_yr_repayment_suppressed.non_first_generation_students,NOTFIRSTGEN_RPY_3YR_RT_SUPP
rate_suppressed.lt_four_year_150percent,C150_L4_POOLED_SUPP
rate_suppressed.four_year,C150_4_POOLED_SUPP
rate_suppressed.lt_four_year,C200_L4_POOLED_SUPP
rate_suppressed.four_year_200percent,C200_4_POOLED_SUPP
alias,ALIAS
completion_rate_4yr_100nt,C100_4
completion_cohort_4yr_100nt,D100_4
completion_rate_less_than_4yr_100nt,C100_L4
completion_cohort_less_than_4yr_100nt,D100_L4
transfer_rate.4yr.full_time,TRANS_4
transfer_rate.cohort_4yr.full_time,DTRANS_4
transfer_rate.less_than_4yr.full_time,TRANS_L4
transfer_rate.cohort_less_than_4yr.full_time,DTRANS_L4
institutional_characteristics.level,ICLEVEL
demographics.men,UGDS_MEN
demographics.women,UGDS_WOMEN
2_yr_default_rate_denom,CDR2_DENOM
3_yr_default_rate_denom,CDR3_DENOM
open_admissions_policy,OPENADMP
undergrads_with_pell_grant_or_federal_student_loan,D_PCTPELL_PCTFLOAN
undergrads_non_degree_seeking,UGNONDS
grad_students,GRADS
completion_cohort_4yr_150_white,D150_4_WHITE
completion_cohort_4yr_150_black,D150_4_BLACK
completion_cohort_4yr_150_hispanic,D150_4_HISP
completion_cohort_4yr_150_asian,D150_4_ASIAN
completion_cohort_4yr_150_aian,D150_4_AIAN
completion_cohort_4yr_150_nhpi,D150_4_NHPI
completion_cohort_4yr_150_2ormore,D150_4_2MOR
completion_cohort_4yr_150_nonresident.alien,D150_4_NRA
completion_cohort_4yr_150_race.unknown,D150_4_UNKN
completion_cohort_less_than_4yr_150_white,D150_L4_WHITE
completion_cohort_less_than_4yr_150_black,D150_L4_BLACK
completion_cohort_less_than_4yr_150_hispanic,D150_L4_HISP
completion_cohort_less_than_4yr_150_asian,D150_L4_ASIAN
completion_cohort_less_than_4yr_150_aian,D150_L4_AIAN
completion_cohort_less_than_4yr_150_nhpi,D150_L4_NHPI
completion_cohort_less_than_4yr_150_2ormore,D150_L4_2MOR
completion_cohort_less_than_4yr_150_nonresident.alien,D150_L4_NRA
completion_cohort_less_than_4yr_150_race.unknown,D150_L4_UNKN
completion_cohort_4yr_150_white_pre2010,D150_4_WHITENH
completion_cohort_4yr_150_black_pre2010,D150_4_BLACKNH
completion_cohort_4yr_150_api_pre2010,D150_4_API
completion_cohort_4yr_150_aian_pre2010,D150_4_AIANOld
completion_cohort_4yr_150_hispanic_pre2010,D150_4_HISPOld
completion_cohort_less_than_4yr_150_white_pre2010,D150_L4_WHITENH
completion_cohort_less_than_4yr_150_black_pre2010,D150_L4_BLACKNH
completion_cohort_less_than_4yr_150_api_pre2010,D150_L4_API
completion_cohort_less_than_4yr_150_aian_pre2010,D150_L4_AIANOld
completion_cohort_less_than_4yr_150_hispanic_pre2010,D150_L4_HISPOld
accreditor_code,ACCREDCODE
title_iv.approval_date,T4APPROVALDATE
outcome_cohort.full_time.first_time.6yr,OMACHT6_FTFT
outcome_percentage.full_time.first_time.6yr.award,OMAWDP6_FTFT
outcome_cohort.full_time.first_time.8yr,OMACHT8_FTFT
outcome_percentage.full_time.first_time.8yr.award,OMAWDP8_FTFT
outcome_percentage.full_time.first_time.8yr.still_enrolled,OMENRYP8_FTFT
outcome_percentage.full_time.first_time.8yr.transfer,OMENRAP8_FTFT
outcome_percentage.full_time.first_time.8yr.unknown,OMENRUP8_FTFT
outcome_cohort.part_time.first_time.6yr,OMACHT6_PTFT
outcome_percentage.part_time.first_time.6yr.award,OMAWDP6_PTFT
outcome_cohort.part_time.first_time.8yr,OMACHT8_PTFT
outcome_percentage.part_time.first_time.8yr.award,OMAWDP8_PTFT
outcome_percentage.part_time.first_time.8yr.still_enrolled,OMENRYP8_PTFT
outcome_percentage.part_time.first_time.8yr.transfer,OMENRAP8_PTFT
outcome_percentage.part_time.first_time.8yr.unknown,OMENRUP8_PTFT
outcome_cohort.full_time.not_first_time.6yr,OMACHT6_FTNFT
outcome_percentage.full_time.not_first_time.6yr.award,OMAWDP6_FTNFT
outcome_cohort.full_time.not_first_time.8yr,OMACHT8_FTNFT
outcome_percentage.full_time.not_first_time.8yr.award,OMAWDP8_FTNFT
outcome_percentage.full_time.not_first_time.8yr.still_enrolled,OMENRYP8_FTNFT
outcome_percentage.full_time.not_first_time.8yr.transfer,OMENRAP8_FTNFT
outcome_percentage.full_time.not_first_time.8yr.unknown,OMENRUP8_FTNFT
outcome_cohort.part_time.not_first_time.6yr,OMACHT6_PTNFT
outcome_percentage.part_time.not_first_time.6yr.award,OMAWDP6_PTNFT
outcome_cohort.part_time.not_first_time.8yr,OMACHT8_PTNFT
outcome_percentage.part_time.not_first_time.8yr.award,OMAWDP8_PTNFT
outcome_percentage.part_time.not_first_time.8yr.still_enrolled,OMENRYP8_PTNFT
outcome_percentage.part_time.not_first_time.8yr.transfer,OMENRAP8_PTNFT
outcome_percentage.part_time.not_first_time.8yr.unknown,OMENRUP8_PTNFT
retention_rate.four_year.full_time_pooled,RET_FT4_POOLED
retention_rate.lt_four_year.full_time_pooled,RET_FTL4_POOLED
retention_rate.four_year.part_time_pooled,RET_PT4_POOLED
retention_rate.lt_four_year.part_time_pooled,RET_PTL4_POOLED
retention_rate.cohort.four_year.full_time_pooled,RET_FT_DEN4_POOLED
retention_rate.cohort.lt_four_year.full_time_pooled,RET_FT_DENL4_POOLED
retention_rate.cohort.four_year.part_time_pooled,RET_PT_DEN4_POOLED
retention_rate.cohort.lt_four_year.part_time_pooled,RET_PT_DENL4_POOLED
retention_rate.pooled_yrs_used.full_time,POOLYRSRET_FT
retention_rate.pooled_yrs_used.part_time,POOLYRSRET_PT
retention_rate_suppressed.four_year.full_time_pooled,RET_FT4_POOLED_SUPP
retention_rate_suppressed.lt_four_year.full_time_pooled,RET_FTL4_POOLED_SUPP
retention_rate_suppressed.four_year.part_time_pooled,RET_PT4_POOLED_SUPP
retention_rate_suppressed.lt_four_year.part_time_pooled,RET_PTL4_POOLED_SUPP
transfer_rate.4yr.full_time_pooled,TRANS_4_POOLED
transfer_rate.less_than_4yr.full_time_pooled,TRANS_L4_POOLED
transfer_rate.cohort_4yr.full_time_pooled,DTRANS_4_POOLED
transfer_rate.cohort_less_than_4yr.full_time_pooled,DTRANS_L4_POOLED
transfer_rate_suppressed.4yr.full_time_pooled,TRANS_4_POOLED_SUPP
transfer_rate_suppressed.less_than_4yr.full_time_pooled,TRANS_L4_POOLED_SUPP
completion_rate_four_year_100_pooled,C100_4_POOLED
completion_rate_lt_four_year_100_pooled,C100_L4_POOLED
completion_cohort_four_year_100_pooled,D100_4_POOLED
completion_cohort_lt_four_year_100_pooled,D100_L4_POOLED
pooled_yrs_used_100,POOLYRS100
rate_suppressed.four_year_100_pooled,C100_4_POOLED_SUPP
rate_suppressed.lt_four_year_100_pooled,C100_L4_POOLED_SUPP
completion_rate_four_year_150_pell,C150_4_PELL
completion_cohort_four_year_150_pell,D150_4_PELL
completion_rate_lt_four_year_150_pell,C150_L4_PELL
completion_cohort_lt_four_year_150_pell,D150_L4_PELL
completion_rate_four_year_150_loan_nopell,C150_4_LOANNOPELL
completion_cohort_four_year_150_loan_nopell,D150_4_LOANNOPELL
completion_rate_lt_four_year_150_loan_nopell,C150_L4_LOANNOPELL
completion_cohort_lt_four_year_150_loan_nopell,D150_L4_LOANNOPELL
completion_rate_four_year_150_noloan_nopell,C150_4_NOLOANNOPELL
completion_cohort_four_year_150_noloan_nopell,D150_4_NOLOANNOPELL
completion_rate_lt_four_year_150_noloan_nopell,C150_L4_NOLOANNOPELL
completion_cohort_lt_four_year_150_noloan_nopell,D150_L4_NOLOANNOPELL
outcome_cohort.full_time.first_time.6yr_pooled,OMACHT6_FTFT_POOLED
outcome_percentage.full_time.first_time.6yr.award_pooled,OMAWDP6_FTFT_POOLED
outcome_cohort.full_time.first_time.8yr_pooled,OMACHT8_FTFT_POOLED
outcome_percentage.full_time.first_time.8yr.award_pooled,OMAWDP8_FTFT_POOLED
outcome_percentage.full_time.first_time.8yr.still_enrolled_pooled,OMENRYP8_FTFT_POOLED
outcome_percentage.full_time.first_time.8yr.transfer_pooled,OMENRAP8_FTFT_POOLED
outcome_percentage.full_time.first_time.8yr.unknown_pooled,OMENRUP8_FTFT_POOLED
outcome_cohort.part_time.first_time.6yr_pooled,OMACHT6_PTFT_POOLED
outcome_percentage.part_time.first_time.6yr.award_pooled,OMAWDP6_PTFT_POOLED
outcome_cohort.part_time.first_time.8yr_pooled,OMACHT8_PTFT_POOLED
outcome_percentage.part_time.first_time.8yr.award_pooled,OMAWDP8_PTFT_POOLED
outcome_percentage.part_time.first_time.8yr.still_enrolled_pooled,OMENRYP8_PTFT_POOLED
outcome_percentage.part_time.first_time.8yr.transfer_pooled,OMENRAP8_PTFT_POOLED
outcome_percentage.part_time.first_time.8yr.unknown_pooled,OMENRUP8_PTFT_POOLED
outcome_cohort.full_time.not_first_time.6yr_pooled,OMACHT6_FTNFT_POOLED
outcome_percentage.full_time.not_first_time.6yr.award_pooled,OMAWDP6_FTNFT_POOLED
outcome_cohort.full_time.not_first_time.8yr_pooled,OMACHT8_FTNFT_POOLED
outcome_percentage.full_time.not_first_time.8yr.award_pooled,OMAWDP8_FTNFT_POOLED
outcome_percentage.full_time.not_first_time.8yr.still_enrolled_pooled,OMENRYP8_FTNFT_POOLED
outcome_percentage.full_time.not_first_time.8yr.transfer_pooled,OMENRAP8_FTNFT_POOLED
outcome_percentage.full_time.not_first_time.8yr.unknown_pooled,OMENRUP8_FTNFT_POOLED
outcome_cohort.part_time.not_first_time.6yr_pooled,OMACHT6_PTNFT_POOLED
outcome_percentage.part_time.not_first_time.6yr.award_pooled,OMAWDP6_PTNFT_POOLED
outcome_cohort.part_time.not_first_time.8yr_pooled,OMACHT8_PTNFT_POOLED
outcome_percentage.part_time.not_first_time.8yr.award_pooled,OMAWDP8_PTNFT_POOLED
outcome_percentage.part_time.not_first_time.8yr.still_enrolled_pooled,OMENRYP8_PTNFT_POOLED
outcome_percentage.part_time.not_first_time.8yr.transfer_pooled,OMENRAP8_PTNFT_POOLED
outcome_percentage.part_time.not_first_time.8yr.unknown_pooled,OMENRUP8_PTNFT_POOLED
outcome_years.full_time.first_time,POOLYRSOM_FTFT
outcome_years.part_time.first_time,POOLYRSOM_PTFT
outcome_years.full_time.not_first_time,POOLYRSOM_FTNFT
outcome_years.part_time.not_first_time,POOLYRSOM_PTNFT
outcome_percentage_suppressed.full_time.first_time.6yr.award_pooled,OMAWDP6_FTFT_POOLED_SUPP
outcome_percentage_suppressed.full_time.first_time.8yr.award_pooled,OMAWDP8_FTFT_POOLED_SUPP
outcome_percentage_suppressed.full_time.first_time.8yr.still_enrolled_pooled,OMENRYP8_FTFT_POOLED_SUPP
outcome_percentage_suppressed.full_time.first_time.8yr.transfer_pooled,OMENRAP8_FTFT_POOLED_SUPP
outcome_percentage_suppressed.full_time.first_time.8yr.unknown_pooled,OMENRUP8_FTFT_POOLED_SUPP
outcome_percentage_suppressed.part_time.first_time.6yr.award_pooled,OMAWDP6_PTFT_POOLED_SUPP
outcome_percentage_suppressed.part_time.first_time.8yr.award_pooled,OMAWDP8_PTFT_POOLED_SUPP
outcome_percentage_suppressed.part_time.first_time.8yr.still_enrolled_pooled,OMENRYP8_PTFT_POOLED_SUPP
outcome_percentage_suppressed.part_time.first_time.8yr.transfer_pooled,OMENRAP8_PTFT_POOLED_SUPP
outcome_percentage_suppressed.part_time.first_time.8yr.unknown_pooled,OMENRUP8_PTFT_POOLED_SUPP
outcome_percentage_suppressed.full_time.not_first_time.6yr.award_pooled,OMAWDP6_FTNFT_POOLED_SUPP
outcome_percentage_suppressed.full_time.not_first_time.8yr.award_pooled,OMAWDP8_FTNFT_POOLED_SUPP
outcome_percentage_suppressed.full_time.not_first_time.8yr.still_enrolled_pooled,OMENRYP8_FTNFT_POOLED_SUPP
outcome_percentage_suppressed.full_time.not_first_time.8yr.transfer_pooled,OMENRAP8_FTNFT_POOLED_SUPP
outcome_percentage_suppressed.full_time.not_first_time.8yr.unknown_pooled,OMENRUP8_FTNFT_POOLED_SUPP
outcome_percentage_suppressed.part_time.not_first_time.6yr.award_pooled,OMAWDP6_PTNFT_POOLED_SUPP
outcome_percentage_suppressed.part_time.not_first_time.8yr.award_pooled,OMAWDP8_PTNFT_POOLED_SUPP
outcome_percentage_suppressed.part_time.not_first_time.8yr.still_enrolled_pooled,OMENRYP8_PTNFT_POOLED_SUPP
outcome_percentage_suppressed.part_time.not_first_time.8yr.transfer_pooled,OMENRAP8_PTNFT_POOLED_SUPP
outcome_percentage_suppressed.part_time.not_first_time.8yr.unknown_pooled,OMENRUP8_PTNFT_POOLED_SUPP
ownership_peps,SCHTYPE
title_iv.eligibility_type,OPEFLAG
program_reporter.programs_offered,PRGMOFR
program_reporter.program_1.cip_6_digit.code,CIPCODE1
program_reporter.program_2.cip_6_digit.code,CIPCODE2
program_reporter.program_3.cip_6_digit.code,CIPCODE3
program_reporter.program_4.cip_6_digit.code,CIPCODE4
program_reporter.program_5.cip_6_digit.code,CIPCODE5
program_reporter.program_6.cip_6_digit.code,CIPCODE6
program_reporter.program_1.cip_6_digit.title,CIPTITLE1
program_reporter.program_2.cip_6_digit.title,CIPTITLE2
program_reporter.program_3.cip_6_digit.title,CIPTITLE3
program_reporter.program_4.cip_6_digit.title,CIPTITLE4
program_reporter.program_5.cip_6_digit.title,CIPTITLE5
program_reporter.program_6.cip_6_digit.title,CIPTITLE6
program_reporter.program_1.cip_6_digit.full_program,CIPTFBS1
program_reporter.program_2.cip_6_digit.full_program,CIPTFBS2
program_reporter.program_3.cip_6_digit.full_program,CIPTFBS3
program_reporter.program_4.cip_6_digit.full_program,CIPTFBS4
program_reporter.program_5.cip_6_digit.full_program,CIPTFBS5
program_reporter.program_6.cip_6_digit.full_program,CIPTFBS6
program_reporter.program_1.cip_6_digit.annualized,CIPTFBSANNUAL1
program_reporter.program_2.cip_6_digit.annualized,CIPTFBSANNUAL2
program_reporter.program_3.cip_6_digit.annualized,CIPTFBSANNUAL3
program_reporter.program_4.cip_6_digit.annualized,CIPTFBSANNUAL4
program_reporter.program_5.cip_6_digit.annualized,CIPTFBSANNUAL5
program_reporter.program_6.cip_6_digit.annualized,CIPTFBSANNUAL6
program_reporter.program_1.cip_6_digit.avg_month_completion,MTHCMP1
program_reporter.program_2.cip_6_digit.avg_month_completion,MTHCMP2
program_reporter.program_3.cip_6_digit.avg_month_completion,MTHCMP3
program_reporter.program_4.cip_6_digit.avg_month_completion,MTHCMP4
program_reporter.program_5.cip_6_digit.avg_month_completion,MTHCMP5
program_reporter.program_6.cip_6_digit.avg_month_completion,MTHCMP6
outcome_years.om_all_students,POOLYRSOM_ALL
outcome_years.om_first_time,POOLYRSOM_FIRSTTIME
outcome_years.om_not_first_time,POOLYRSOM_NOTFIRSTTIME
outcome_years.om_full_time,POOLYRSOM_FULLTIME
outcome_years.om_part_time,POOLYRSOM_PARTTIME
outcome_percentage.all_students.8yr.still_enrolled,OMENRYP_ALL
outcome_percentage.all_students.8yr.transfer,OMENRAP_ALL
outcome_percentage.all_students.8yr.award,OMAWDP8_ALL
outcome_percentage.all_students.8yr.unknown,OMENRUP_ALL
outcome_percentage.first_time.8yr.still_enrolled,OMENRYP_FIRSTTIME
outcome_percentage.first_time.8yr.transfer,OMENRAP_FIRSTTIME
outcome_percentage.first_time.8yr.award,OMAWDP8_FIRSTTIME
outcome_percentage.first_time.8yr.unknown,OMENRUP_FIRSTTIME
outcome_percentage.not_first_time.8yr.still_enrolled,OMENRYP_NOTFIRSTTIME
outcome_percentage.not_first_time.8yr.transfer,OMENRAP_NOTFIRSTTIME
outcome_percentage.not_first_time.8yr.award,OMAWDP8_NOTFIRSTTIME
outcome_percentage.not_first_time.8yr.unknown,OMENRUP_NOTFIRSTTIME
outcome_percentage.full_time.8yr.still_enrolled,OMENRYP_FULLTIME
outcome_percentage.full_time.8yr.transfer,OMENRAP_FULLTIME
outcome_percentage.full_time.8yr.award,OMAWDP8_FULLTIME
outcome_percentage.full_time.8yr.unknown,OMENRUP_FULLTIME
outcome_percentage.part_time.8yr.still_enrolled,OMENRYP_PARTTIME
outcome_percentage.part_time.8yr.transfer,OMENRAP_PARTTIME
outcome_percentage.part_time.8yr.award,OMAWDP8_PARTTIME
outcome_percentage.part_time.8yr.unknown,OMENRUP_PARTTIME
outcome_percentage_suppressed.all_students.8yr.still_enrolled_pooled,OMENRYP_ALL_POOLED_SUPP
outcome_percentage_suppressed.all_students.8yr.transfer_pooled,OMENRAP_ALL_POOLED_SUPP
outcome_percentage_suppressed.all_students.8yr.award_pooled,OMAWDP8_ALL_POOLED_SUPP
outcome_percentage_suppressed.all_students.8yr.unknown_pooled,OMENRUP_ALL_POOLED_SUPP
outcome_percentage_suppressed.first_time.8yr.still_enrolled_pooled,OMENRYP_FIRSTTIME_POOLED_SUPP
outcome_percentage_suppressed.first_time.8yr.transfer_pooled,OMENRAP_FIRSTTIME_POOLED_SUPP
outcome_percentage_suppressed.first_time.8yr.award_pooled,OMAWDP8_FIRSTTIME_POOLED_SUPP
outcome_percentage_suppressed.first_time.8yr.unknown_pooled,OMENRUP_FIRSTTIME_POOLED_SUPP
outcome_percentage_suppressed.not_first_time.8yr.still_enrolled_pooled,OMENRYP_NOTFIRSTTIME_POOLED_SUPP
outcome_percentage_suppressed.not_first_time.8yr.transfer_pooled,OMENRAP_NOTFIRSTTIME_POOLED_SUPP
outcome_percentage_suppressed.not_first_time.8yr.award_pooled,OMAWDP8_NOTFIRSTTIME_POOLED_SUPP
outcome_percentage_suppressed.not_first_time.8yr.unknown_pooled,OMENRUP_NOTFIRSTTIME_POOLED_SUPP
outcome_percentage_suppressed.full_time.8yr.still_enrolled_pooled,OMENRYP_FULLTIME_POOLED_SUPP
outcome_percentage_suppressed.full_time.8yr.transfer_pooled,OMENRAP_FULLTIME_POOLED_SUPP
outcome_percentage_suppressed.full_time.8yr.award_pooled,OMAWDP8_FULLTIME_POOLED_SUPP
outcome_percentage_suppressed.full_time.8yr.unknown_pooled,OMENRUP_FULLTIME_POOLED_SUPP
outcome_percentage_suppressed.part_time.8yr.still_enrolled_pooled,OMENRYP_PARTTIME_POOLED_SUPP
outcome_percentage_suppressed.part_time.8yr.transfer_pooled,OMENRAP_PARTTIME_POOLED_SUPP
outcome_percentage_suppressed.part_time.8yr.award_pooled,OMAWDP8_PARTTIME_POOLED_SUPP
outcome_percentage_suppressed.part_time.8yr.unknown_pooled,OMENRUP_PARTTIME_POOLED_SUPP
ftft_pell_grant_rate,FTFTPCTPELL
ftft_federal_loan_rate,FTFTPCTFLOAN
enrollment.undergrad_12_month,UG12MN
enrollment.grad_12_month,G12MN
ftft_undergrads_with_pell_grant_or_federal_student_loan,SCUGFFN
ftft_undergrads_pell_federal_loan_years,POOLYRS_FTFTAIDPCT
ftft_pell_grant_rate_pooled,FTFTPCTPELL_POOLED_SUPP
ftft_federal_loan_rate_pooled,FTFTPCTFLOAN_POOLED_SUPP
ftft_undergrads_with_pell_grant_or_federal_student_loan_pooled,SCUGFFN_POOLED
plus_loan_pct_lower,PPLUS_PCT_LOW
plus_loan_pct_upper,PPLUS_PCT_HIGH
plus_loan_pct_lower_pooled,PPLUS_PCT_LOW_POOLED_SUPP
plus_loan_pct_upper_pooled,PPLUS_PCT_HIGH_POOLED_SUPP
plus_loan_pct_years,POOLYRS_PLUSPCT
plus_debt.all.eval_inst.count,PLUS_DEBT_INST_N
plus_debt.all.eval_inst.median,PLUS_DEBT_INST_MD
plus_debt.all.all_inst.count,PLUS_DEBT_ALL_N
plus_debt.all.all_inst.median,PLUS_DEBT_ALL_MD
plus_debt.completers.eval_inst.count,PLUS_DEBT_INST_COMP_N
plus_debt.completers.eval_inst.median,PLUS_DEBT_INST_COMP_MD
plus_debt.completers.eval_inst.median_payment,PLUS_DEBT_INST_COMP_MDPAY10
plus_debt_suppressed.completers.eval_inst.median,PLUS_DEBT_INST_COMP_MD_SUPP
plus_debt_suppressed.completers.eval_inst.median_payment,PLUS_DEBT_INST_COMP_MDPAY10_SUPP
plus_debt.completers.all_inst.count,PLUS_DEBT_ALL_COMP_N
plus_debt.completers.all_inst.median,PLUS_DEBT_ALL_COMP_MD
plus_debt.completers.all_inst.median_payment,PLUS_DEBT_ALL_COMP_MDPAY10
plus_debt_suppressed.completers.all_inst.median,PLUS_DEBT_ALL_COMP_MD_SUPP
plus_debt_suppressed.completers.all_inst.median_payment,PLUS_DEBT_ALL_COMP_MDPAY10_SUPP
plus_debt.noncompleters.eval_inst.count,PLUS_DEBT_INST_NOCOMP_N
plus_debt.noncompleters.eval_inst.median,PLUS_DEBT_INST_NOCOMP_MD
plus_debt.noncompleters.all_inst.count,PLUS_DEBT_ALL_NOCOMP_N
plus_debt.noncompleters.all_inst.median,PLUS_DEBT_ALL_NOCOMP_MD
plus_debt.male.eval_inst.count,PLUS_DEBT_INST_MALE_N
plus_debt.male.eval_inst.median,PLUS_DEBT_INST_MALE_MD
plus_debt.male.all_inst.count,PLUS_DEBT_ALL_MALE_N
plus_debt.male.all_inst.median,PLUS_DEBT_ALL_MALE_MD
plus_debt.not_male.eval_inst.count,PLUS_DEBT_INST_NOMALE_N
plus_debt.not_male.eval_inst.median,PLUS_DEBT_INST_NOMALE_MD
plus_debt.not_male.all_inst.count,PLUS_DEBT_ALL_NOMALE_N
plus_debt.not_male.all_inst.median,PLUS_DEBT_ALL_NOMALE_MD
plus_debt.pell.eval_inst.count,PLUS_DEBT_INST_PELL_N
plus_debt.pell.eval_inst.median,PLUS_DEBT_INST_PELL_MD
plus_debt.pell.all_inst.count,PLUS_DEBT_ALL_PELL_N
plus_debt.pell.all_inst.median,PLUS_DEBT_ALL_PELL_MD
plus_debt.not_pell.eval_inst.count,PLUS_DEBT_INST_NOPELL_N
plus_debt.not_pell.eval_inst.median,PLUS_DEBT_INST_NOPELL_MD
plus_debt.not_pell.all_inst.count,PLUS_DEBT_ALL_NOPELL_N
plus_debt.not_pell.all_inst.median,PLUS_DEBT_ALL_NOPELL_MD
plus_debt.stafford_this_school.eval_inst.count,PLUS_DEBT_INST_STAFFTHIS_N
plus_debt.stafford_this_school.eval_inst.median,PLUS_DEBT_INST_STAFFTHIS_MD
plus_debt.stafford_this_school.all_inst.count,PLUS_DEBT_ALL_STAFFTHIS_N
plus_debt.stafford_this_school.all_inst.median,PLUS_DEBT_ALL_STAFFTHIS_MD
plus_debt.nostafford_this_school.eval_inst.count,PLUS_DEBT_INST_NOSTAFFTHIS_N
plus_debt.nostafford_this_school.eval_inst.median,PLUS_DEBT_INST_NOSTAFFTHIS_MD
plus_debt.nostafford_this_school.all_inst.count,PLUS_DEBT_ALL_NOSTAFFTHIS_N
plus_debt.nostafford_this_school.all_inst.median,PLUS_DEBT_ALL_NOSTAFFTHIS_MD
plus_debt.stafford_any_school.eval_inst.count,PLUS_DEBT_INST_STAFFANY_N
plus_debt.stafford_any_school.eval_inst.median,PLUS_DEBT_INST_STAFFANY_MD
plus_debt.stafford_any_school.all_inst.count,PLUS_DEBT_ALL_STAFFANY_N
plus_debt.stafford_any_school.all_inst.median,PLUS_DEBT_ALL_STAFFANY_MD
plus_debt.nostafford_any_school.eval_inst.count,PLUS_DEBT_INST_NOSTAFFANY_N
plus_debt.nostafford_any_school.eval_inst.median,PLUS_DEBT_INST_NOSTAFFANY_MD
plus_debt.nostafford_any_school.all_inst.count,PLUS_DEBT_ALL_NOSTAFFANY_N
plus_debt.nostafford_any_school.all_inst.median,PLUS_DEBT_ALL_NOSTAFFANY_MD
3_yrs_after_completion.not_working_not_enrolled.overall_count,COUNT_NWNE_3YR
3_yrs_after_completion.working_not_enrolled.overall_count,COUNT_WNE_3YR
3_yrs_after_completion.overall_count_over_poverty_line,CNTOVER150_3YR
1_yr_db_fed_repayment.ug.count,DBRR1_FED_UG_N
1_yr_db_fed_repayment.ug.numerator,DBRR1_FED_UG_NUM
1_yr_db_fed_repayment.ug.denominator,DBRR1_FED_UG_DEN
1_yr_db_fed_repayment.ug.rate,DBRR1_FED_UG_RT
1_yr_db_fed_repayment.gr.count,DBRR1_FED_GR_N
1_yr_db_fed_repayment.gr.numerator,DBRR1_FED_GR_NUM
1_yr_db_fed_repayment.gr.denominator,DBRR1_FED_GR_DEN
1_yr_db_fed_repayment.gr.rate,DBRR1_FED_GR_RT
