developer-friendly name,VARIABLE NAME
demographics.race_ethnicity.asian_pacific_islander,UGDS_API
demographics.race_ethnicity.aian_prior_2009,UGDS_AIANOLD
demographics.race_ethnicity.hispanic_prior_2009,UGDS_HISPOLD
demographics.non_resident_aliens_2000,UG_NRA
demographics.race_ethnicity.unknown_2000,UG_UNKN
demographics.race_ethnicity.white_2000,UG_WHITENH
demographics.race_ethnicity.black_2000,UG_BLACKNH
demographics.race_ethnicity.api_2000,UG_API
demographics.race_ethnicity.aian_2000,UG_AIANOLD
demographics.race_ethnicity.hispanic_2000,UG_HISPOLD
part_time_share,PPTUG_EF
part_time_share_2000,PPTUG_EF2
operating,CURROPER
,
avg_net_price.public,NPT4_PUB
avg_net_price.private,NPT4_PRIV
avg_net_price.program_year,NPT4_PROG
avg_net_price.other_academic_year,NPT4_OTHER
net_price.public.by_income_level.0-30000,NPT41_PUB
net_price.public.by_income_level.30001-48000,NPT42_PUB
net_price.public.by_income_level.48001-75000,NPT43_PUB
net_price.public.by_income_level.75001-110000,NPT44_PUB
net_price.public.by_income_level.110001-plus,NPT45_PUB
net_price.private.by_income_level.0-30000,NPT41_PRIV
net_price.private.by_income_level.30001-48000,NPT42_PRIV
net_price.private.by_income_level.48001-75000,NPT43_PRIV
net_price.private.by_income_level.75001-110000,NPT44_PRIV
net_price.private.by_income_level.110001-plus,NPT45_PRIV
net_price.program_reporter.by_income_level.0-30000,NPT41_PROG
net_price.program_reporter.by_income_level.30001-48000,NPT42_PROG
net_price.program_reporter.by_income_level.48001-75000,NPT43_PROG
net_price.program_reporter.by_income_level.75001-110000,NPT44_PROG
net_price.program_reporter.by_income_level.110001-plus,NPT45_PROG
net_price.other_acad_calendar.by_income_level.0-30000,NPT41_OTHER
net_price.other_acad_calendar.by_income_level.30001-48000,NPT42_OTHER
net_price.other_acad_calendar.by_income_level.48001-75000,NPT43_OTHER
net_price.other_acad_calendar.by_income_level.75001-110000,NPT44_OTHER
net_price.other_acad_calendar.by_income_level.110001-plus,NPT45_OTHER
net_price.public.by_income_level.0-48000,NPT4_048_PUB
net_price.private.by_income_level.0-48000,NPT4_048_PRIV
net_price.program_reporter.by_income_level.0-48000,NPT4_048_PROG
net_price.other_acad_calendar.by_income_level.0-48000,NPT4_048_OTHER
net_price.public.by_income_level.30001-75000,NPT4_3075_PUB
net_price.private.by_income_level.30001-75000,NPT4_3075_PRIV
net_price.public.by_income_level.75000-plus,NPT4_75UP_PUB
net_price.private.by_income_level.75000-plus,NPT4_75UP_PRIV
net_price.program_reporter.by_income_level.30001-75000,NPT4_3075_PROG
net_price.other_acad_calendar.by_income_level.30001-75000,NPT4_3075_OTHER
net_price.program_reporter.by_income_level.75000-plus,NPT4_75UP_PROG
net_price.other_acad_calendar.by_income_level.75000-plus,NPT4_75UP_OTHER
title_iv.public.all,NUM4_PUB
title_iv.private.all,NUM4_PRIV
title_iv.program_year,NUM4_PROG
title_iv.academic_year,NUM4_OTHER
title_iv.public.by_income_level.0-30000,NUM41_PUB
title_iv.public.by_income_level.30001-48000,NUM42_PUB
title_iv.public.by_income_level.48001-75000,NUM43_PUB
title_iv.public.by_income_level.75001-110000,NUM44_PUB
title_iv.public.by_income_level.110001-plus,NUM45_PUB
title_iv.private.by_income_level.0-30000,NUM41_PRIV
title_iv.private.by_income_level.30001-48000,NUM42_PRIV
title_iv.private.by_income_level.48001-75000,NUM43_PRIV
title_iv.private.by_income_level.75001-110000,NUM44_PRIV
title_iv.private.by_income_level.110001-plus,NUM45_PRIV
title_iv.program_reporter.by_income_level.0-30000,NUM41_PROG
title_iv.program_reporter.by_income_level.30001-48000,NUM42_PROG
title_iv.program_reporter.by_income_level.48001-75000,NUM43_PROG
title_iv.program_reporter.by_income_level.75001-110000,NUM44_PROG
title_iv.program_reporter.by_income_level.110001-plus,NUM45_PROG
title_iv.other_acad_calendar.by_income_level.0-30000,NUM41_OTHER
title_iv.other_acad_calendar.by_income_level.30001-48000,NUM42_OTHER
title_iv.other_acad_calendar.by_income_level.48001-75000,NUM43_OTHER
title_iv.other_acad_calendar.by_income_level.75001-110000,NUM44_OTHER
title_iv.other_acad_calendar.by_income_level.110001-plus,NUM45_OTHER
attendance.academic_year,COSTT4_A
attendance.program_year,COSTT4_P
tuition.in_state,TUITIONFEE_IN
tuition.out_of_state,TUITIONFEE_OUT
tuition.program_year,TUITIONFEE_PROG
tuition_revenue_per_fte,TUITFTE
instructional_expenditure_per_fte,INEXPFTE
faculty_salary,AVGFACSAL
ft_faculty_rate,PFTFAC
pell_grant_rate,PCTPELL
completion_rate_4yr_150nt,C150_4
completion_rate_less_than_4yr_150nt,C150_L4
completion_rate_4yr_150nt_pooled,C150_4_POOLED
completion_rate_less_than_4yr_150nt_pooled,C150_L4_POOLED
pooled_yrs_used,POOLYRS
share_first.time_full.time,PFTFTUG1_EF
completion_cohort_4yr_150nt,D150_4
completion_cohort_less_than_4yr_150nt,D150_L4
completion_cohort_4yr_150nt_pooled,D150_4_POOLED
completion_cohort_less_than_4yr_150nt_pooled,D150_L4_POOLED
completion_rate_4yr_150_white,C150_4_WHITE
completion_rate_4yr_150_black,C150_4_BLACK
completion_rate_4yr_150_hispanic,C150_4_HISP
completion_rate_4yr_150_asian,C150_4_ASIAN
completion_rate_4yr_150_aian,C150_4_AIAN
completion_rate_4yr_150_nhpi,C150_4_NHPI
completion_rate_4yr_150_2ormore,C150_4_2MOR
completion_rate_4yr_150_nonresident.alien,C150_4_NRA
completion_rate_4yr_150_race.unknown,C150_4_UNKN
completion_rate_4yr_150_white_pre2010,C150_4_WHITENH
completion_rate_4yr_150_black_pre2010,C150_4_BLACKNH
completion_rate_4yr_150_api_pre2010,C150_4_API
completion_rate_4yr_150_aian_pre2010,C150_4_AIANOLD
completion_rate_4yr_150_hispanic_pre2010,C150_4_HISPOLD
completion_rate_l4yr_150_white,C150_L4_WHITE
completion_rate_l4yr_150_black,C150_L4_BLACK
completion_rate_l4yr_150_hispanic,C150_L4_HISP
completion_rate_l4yr_150_asian,C150_L4_ASIAN
completion_rate_l4yr_150_aian,C150_L4_AIAN
completion_rate_l4yr_150_nhpi,C150_L4_NHPI
completion_rate_l4yr_150_2ormore,C150_L4_2MOR
completion_rate_l4yr_150_nonresident.alien,C150_L4_NRA
completion_rate_l4yr_150_race.unknown,C150_L4_UNKN
completion_rate_l4yr_150_white_pre2010,C150_L4_WHITENH
